client,shapley,least_core
1,0.17755445539951328,0.17821133
4,0.13547327816486365,0.15389258
6,0.135400477051735,0.16449964
13,0.13851623932520551,0.16068304
18,0.13352719843387606,0.13261807
21,0.0694330056508382,0.0
